Tingkat Pendidikan 2,,,
,Tingkat Pengangguran Terbuka Berdasarkan Tingkat Pendidikan,,
,2015,2016,2017
Tidak/Belum Pernah Sekolah/Belum Tamat & Tamat SD,2.71,2.95,2.62
SMP,6.24,5.84,5.52
SMA umum,10.27,8.63,8.32
SMA Kejuruan,13.02,11.49,11.38
Diploma I/II/III,7.22,5.03,6.86
Universitas,5.98,4.54,5.25
